v_products_model,v_products_image,v_products_name_1,v_products_description_1,v_products_url_1,v_specials_price,v_specials_last_modified,v_specials_expires_date,v_products_price,v_products_weight,v_last_modified,v_date_added,v_products_quantity,v_manufacturers_name,v_categories_name_1,v_categories_name_2,v_categories_name_3,v_categories_name_4,v_categories_name_5,v_categories_name_6,v_categories_name_7,v_tax_class_title,v_status,v_metatags_products_name_status,v_metatags_title_status,v_metatags_model_status,v_metatags_price_status,v_metatags_title_tagline_status,v_metatags_title_1,v_metatags_keywords_1,v_metatags_description_1
Christmas Costume 001,sexylingerie-us/sexylingerie/7113.jpg,Sexy Princess Christmas Costume,"Product Name: <strong>Sexy Princess Christmas Costume</strong><br>
Colors: Red/White<br>
Sizes: One Size Fits Most<br>
Materials: Santas<br>
Feature: Christmas Princess Outfit includes Fur Trimmed Hooded Dress with Built in Petticoat and Satin Ribbon Detail.
",,28,,,48,,,,488,,Christmas Costume,,,,,,,--none--,1,0,1,0,1,0,,,
Christmas Costume 002,sexylingerie-us/sexylingerie/7115.jpg,Elegant Red Christmas Lady Costume Dress,"Product Name: <strong>Elegant Red & White Christmas Lady Costume Dress</strong><br>
Colors: Red/White<br>
Sizes: One Size Fits Most<br>
Materials: Nylon+spandex<br>
Feature: with hat and golovs.
",,28,,,48,,,,488,,Christmas Costume,,,,,,,--none--,1,0,1,0,1,0,,,
Christmas Costume 003,sexylingerie-us/sexylingerie/7120.jpg,Sexy X'mas Costume,"Product Name: <strong>Sexy X'mas Costume</strong><br>
Colors: Red/White/Black<br>
Sizes: One Size Fits Most<br>
Materials: Nylon+ cottons<br>
Feature: Sexy Santa Mini Dress with hat and belt.
",,28,,,48,,,,488,,Christmas Costume,,,,,,,--none--,1,0,1,0,1,0,,,
Christmas Costume 004,sexylingerie-us/sexylingerie/7131.jpg,Hot Red Christmas Lady Dress Clothes Set Skirt + Hat + Belt ,"Product Name: <strong>Hot Red Christmas Lady Dress Clothes Set Skirt + Hat + Belt </strong><br>
Colors: Red/White/Black<br>
Sizes: One Size Fits Most<br>
Materials: velvet<br>
Feature: Stretch Velvet Zipper Front Hooded Mini Dress with Faux Fur Trim, Satin Lined Hood and Removable Belt AND Fur Boot Covers included.
",,28,,,48,,,,488,,Christmas Costume,,,,,,,--none--,1,0,1,0,1,0,,,
Christmas Costume 005,sexylingerie-us/sexylingerie/7152.jpg,Lovely Red Christmas Lady Dress Clothes Skirt + Coat + Gloves + Belt ,"Product Name: <strong>Lovely Red Christmas Lady Dress Clothes Skirt + Coat + Gloves + Belt </strong><br>
Colors: Red/White/Black<br>
Sizes: One Size Fits Most<br>
Materials: Velvet<br>
Feature: 5pc Velvet Miss Santa costume which includes: A fully lined red velvet dress featuring faux fur embellishments on the neckline and hemline,matching faux-leather belt, hat, matching glovelets, and boot covers.
",,28,,,48,,,,488,,Christmas Costume,,,,,,,--none--,1,0,1,0,1,0,,,
Christmas Costume 006,sexylingerie-us/sexylingerie/7156.jpg,Sexy Hot Red Nap Christmas Dress Skirt Costume with Hat,"Product Name: <strong>Sexy Princess Christmas Costume</strong><br>
Colors: Red/White/Black<br>
Sizes: One Size Fits Most<br>
Materials: Santas<br>
Feature: 2 piece Santa Sweetie Costume includes Fur Trimmed Halter Dress with Bow and Santa Hat.
",,28,,,48,,,,488,,Christmas Costume,,,,,,,--none--,1,0,1,0,1,0,,,
Christmas Costume 007,sexylingerie-us/sexylingerie/7161.jpg,Sexy and Elegant Red Christmas Dress Cloak clothes set,"Product Name: <strong>Sexy and Elegant Red Christmas Dress Cloak clothes set</strong><br>
Colors: Red/White<br>
Sizes: One Size Fits Most<br>
Materials: Santa<br>
Feature: Stretch Velvet  Front Hooded Robe with Faux Fur Trim, Satin Lined Hood and Removable Belt,Fur Boot Covers.
",,28,,,48,,,,488,,Christmas Costume,,,,,,,--none--,1,0,1,0,1,0,,,
Christmas Costume 008,sexylingerie-us/sexylingerie/7162.jpg,Sexy Red Bandage Christmas Lady Dress Costume Skirt with Hat,"Product Name: <strong>Sexy Red Bandage Christmas Lady Dress Costume Skirt with Hat</strong><br>
Colors: Red/White/Black<br>
Sizes: One Size Fits Most<br>
Materials: Stretch Velvet<br>
Feature: 3 Pc Santa's Envy Includes Fur Trimmed dress With Buckle Detail, Santa Hat, Sexy Fur Boot Cover.
",,28,,,48,,,,488,,Christmas Costume,,,,,,,--none--,1,0,1,0,1,0,,,
Christmas Costume 009,sexylingerie-us/sexylingerie/7170.jpg,Sweetheart Christmas Lady Dress Costume Set with Hat + Belt,"Product Name: <strong>Sweetheart Christmas Lady Dress Costume Set with Hat + Belt</strong><br>
Colors: Red/White/Black<br>
Sizes: One Size Fits Most<br>
Materials: Santas<br>
Feature: Two Piece Mrs. Santa Costume includes Holly-berry Front and Fur Trim Neckline with Window Back Interest. Includes an Adjustable Belt and Holly-Berry Hat. 
",,28,,,48,,,,488,,Christmas Costume,,,,,,,--none--,1,0,1,0,1,0,,,
Christmas Costume 010,sexylingerie-us/sexylingerie/7176-2.jpg,Romantic Christmas Lady Dress Costume Skirt with Belt,"Product Name: <strong>Romantic Christmas Lady Dress Costume Skirt with Belt</strong><br>
Colors: Black/Red<br>
Sizes: One Size Fits Most<br>
Materials: Santas<br>
Feature: Stunning new faux fur trim hooded velvet Santa dress for the Holidays! Faux fur trim Sexy Santa's Helper outfit. Includes zip front hooded velvet Santa dress and belt, boot Covers.
",,28,,,48,,,,488,,Christmas Costume,,,,,,,--none--,1,0,1,0,1,0,,,
Christmas Costume 011,sexylingerie-us/sexylingerie/7181.jpg,Hot Red Christmas Corset Bikini with Hat,"Product Name: <strong>Hot Red Christmas Corset Bikini with Hat</strong><br>
Colors: Red/White<br>
Sizes: One Size Fits Most<br>
Materials: Santas<br>
Feature: 3 Piece  Exotic Naughty Santa Girl Costume includes stretch velvet corset top with boning and front bow with matching scrunch back bottoms, hat. 
",,28,,,48,,,,488,,Christmas Costume,,,,,,,--none--,1,0,1,0,1,0,,,
Christmas Costume 012,sexylingerie-us/sexylingerie/7182.jpg,Sexy Hot Red Christmas Corset Bikini with Hat,"Product Name: <strong>Sexy Hot Red Christmas Corset Bikini with Hat</strong><br>
Colors: Red/White<br>
Sizes: One Size Fits Most<br>
Materials: Santas<br>
Feature: 2 Piece Santas Secret Christmas Costume include stretch velvet lace front corset with ruffles, bows, gater details and matching scrunch back bottom.
",,28,,,48,,,,488,,Christmas Costume,,,,,,,--none--,1,0,1,0,1,0,,,
